S#,Country,Daily Oil Consumption (Barrels),World Share,Yearly Liters Per Capita,Yearly Gallons Per Capita,Price Per Liter (GBP),Price Per Liter (USD),GDP Per Capita (GBP),GDP Per Capita ( USD ),Gallons GDP Per Capita Can Buy,xTimes Yearly Gallons Per Capita Buy
109,Afghanistan,"35,000",0%,69.1,15.2,0.84 ,$0.96,442.83,$509.00,141,9
124,Albania,"27,000",0%,651.9,143.4,1.84 ,$2.11,"4,537.05","$5,215.00",652,5
37,Algeria,"429,000",0%,737.4,162.2,0.27 ,$0.31,"2,879.70","$3,310.00",2805,17
69,Angola,"133,000",0%,321.4,70.7,0.32 ,$0.37,"1,649.52","$1,896.00",1364,19
28,Argentina,"709,000",1%,"1,135.6",249.8,0.91 ,$1.05,"7,463.73","$8,579.00",2166,9
149,Armenia,"6,000",0%,142.3,31.3,1.10 ,$1.26,"3,713.16","$4,268.00",895,29
160,Aruba,"8,000",0%,"5,316.1",1169.4,1.40 ,$1.61,"26,320.11","$30,253.00",4976,4
20,Australia,"1,114,645",1%,"3,201.7",704.3,1.20 ,$1.38,"44,972.91","$51,693.00",9903,14
43,Austria,"262,352",0%,"2,090.3",459.8,1.85 ,$2.13,"42,270.69","$48,587.00",6021,13
72,Azerbaijan,"96,000",0%,687.4,151.2,0.51 ,$0.59,"3,666.18","$4,214.00",1890,12
144,Bahamas,"20,036",0%,"3,694.5",812.7,1.49 ,$1.71,"21,918.78","$25,194.00",3888,5
90,Bahrain,"62,000",0%,"3,030.4",666.6,0.46 ,$0.53,"17,756.70","$20,410.00",10154,15
68,Bangladesh,"113,000",0%,50.0,11.0,0.83 ,$0.95,"1,713.03","$1,969.00",548,50
162,Barbados,"11,001",0%,"2,682.6",590.1,1.90 ,$2.18,"13,375.38","$15,374.00",1859,3
73,Belarus,"137,000",0%,"1,010.6",222.3,0.62 ,$0.71,"5,577.57","$6,411.00",2401,11
29,Belgium,"631,522",1%,"3,875.9",852.6,1.92 ,$2.21,"39,288.33","$45,159.00",5402,6
177,Belize,"4,001",0%,756.9,166.5,1.53 ,$1.76,"3,859.32","$4,436.00",664,4
112,Benin,"36,000",0%,230.9,50.8,0.84 ,$0.96,"1,123.17","$1,291.00",356,7
168,Bhutan,"3,001",0%,283.7,62.4,1.03 ,$1.18,"2,716.14","$3,122.00",700,11
83,Bolivia,"90,000",0%,568.7,125.1,0.47 ,$0.54,"2,734.41","$3,143.00",1526,12
114,Bosnia and Herzegovina,"35,000",0%,720.1,158.4,1.51 ,$1.73,"5,247.84","$6,032.00",921,6
132,Botswana,"21,000",0%,677.4,149.0,0.98 ,$1.13,"5,838.57","$6,711.00",1564,10
7,Brazil,"2,984,000",3%,"1,008.8",221.9,1.24 ,$1.42,"5,913.39","$6,797.00",1268,6
166,British Virgin Islands,"1,240",0%,"2,944.0",647.6,0.83 ,$0.95,"29,794.02","$34,246.00",9513,15
126,Brunei ,"16,000",0%,"2,656.2",584.3,0.19 ,$0.22,"23,875.41","$27,443.00",33064,57
79,Bulgaria,"97,000",0%,945.1,207.9,1.50 ,$1.72,"8,768.73","$10,079.00",1543,7
133,Burkina Faso,"23,000",0%,85.9,18.9,0.99 ,$1.14,722.97,$831.00,192,10
165,Burundi,"1,499",0%,10.0,2.2,1.17 ,$1.34,238.38,$274.00,54,24
163,Cabo Verde,"5,600",0%,734.6,161.6,1.57 ,$1.81,"2,665.68","$3,064.00",447,3
104,Cambodia,"48,000",0%,212.3,46.7,1.33 ,$1.53,"1,316.31","$1,513.00",262,6
108,Cameroon,"40,000",0%,116.4,25.6,0.90 ,$1.04,"1,304.13","$1,499.00",381,15
9,Canada,"2,486,301",3%,"4,762.4",1047.6,1.56 ,$1.79,"37,634.46","$43,258.00",6399,6
167,Cayman Islands,"4,401",0%,"4,902.0",1078.3,1.44 ,$1.66,"74,022.21","$85,083.00",13570,13
175,Central African Republic,"2,800",0%,43.2,9.5,2.08 ,$2.39,414.99,$477.00,53,6
40,Chile,"351,989",0%,"1,347.0",296.3,1.21 ,$1.39,"11,511.84","$13,232.00",2516,8
2,China,"12,791,553",13%,630.5,138.7,1.24 ,$1.43,"9,078.45","$10,435.00",1925,14
36,Colombia,"357,000",0%,516.4,113.6,0.52 ,$0.60,"4,639.71","$5,333.00",2339,21
169,Comoros,"1,300",0%,113.7,25.0,1.18 ,$1.36,"1,220.61","$1,403.00",272,11
136,Congo,"17,000",0%,237.8,52.3,0.90 ,$1.04,"1,716.51","$1,973.00",501,10
92,Costa Rica,"55,000",0%,782.4,172.1,1.35 ,$1.55,"10,562.67","$12,141.00",2068,12
89,Croatia,"69,000",0%,"1,142.4",251.3,1.66 ,$1.91,"12,296.58","$14,134.00",1952,8
61,Cuba,"153,000",0%,940.6,206.9,1.10 ,$1.26,"8,245.86","$9,478.00",1987,10
100,Cte d'Ivoire,"51,000",0%,149.1,32.8,1.03 ,$1.18,"2,022.75","$2,325.00",520,16
105,Cyprus,"52,000",0%,"3,096.7",681.2,1.62 ,$1.86,"23,162.88","$26,624.00",3782,6
57,Czech Republic (Czechia),"179,956",0%,"1,181.1",259.8,1.74 ,$2.00,"19,950.84","$22,932.00",3033,12
54,Denmark,"158,194",0%,"1,930.2",424.6,2.31 ,$2.65,"53,124.81","$61,063.00",6082,14
176,Dominica,"1,301",0%,"1,271.5",279.7,1.10 ,$1.26,"6,323.16","$7,268.00",1521,5
80,Dominican Republic,"133,000",0%,891.5,196.1,1.23 ,$1.41,"6,323.16","$7,268.00",1364,7
128,DR Congo,"21,000",0%,18.6,4.1,1.02 ,$1.17,484.59,$557.00,126,31
47,Ecuador,"259,000",0%,"1,094.7",240.8,1.02 ,$1.17,"4,872.00","$5,600.00",1264,5
24,Egypt,"877,000",1%,646.9,142.3,0.45 ,$0.52,"3,086.76","$3,548.00",1801,13
103,El Salvador,"52,000",0%,570.1,125.4,0.99 ,$1.14,"3,305.13","$3,799.00",881,7
119,Estonia,"28,855",0%,"1,527.5",336.0,1.92 ,$2.21,"20,033.49","$23,027.00",2758,8
85,Ethiopia,"74,000",0%,49.6,10.9,0.62 ,$0.71,814.32,$936.00,347,32
147,Fiji,"16,000",0%,"1,278.3",281.2,1.21 ,$1.39,"4,247.34","$4,882.00",926,3
64,Finland,"210,030",0%,"2,662.6",585.7,2.30 ,$2.64,"42,432.51","$48,773.00",4872,8
13,France,"1,705,568",2%,"1,837.9",404.3,1.91 ,$2.19,"33,956.10","$39,030.00",4719,12
130,Gabon,"21,000",0%,728.7,160.3,0.84 ,$0.97,"6,095.22","$7,006.00",1919,12
174,Gambia,"3,800",0%,123.2,27.1,1.16 ,$1.33,684.69,$787.00,156,6
121,Georgia,"33,000",0%,572.8,126.0,1.16 ,$1.33,"3,722.73","$4,279.00",849,7
10,Germany,"2,383,393",3%,"2,020.7",444.5,1.76 ,$2.02,"40,200.96","$46,208.00",6040,14
84,Ghana,"88,000",0%,215.5,47.4,1.12 ,$1.29,"2,026.23","$2,329.00",478,10
48,Greece,"296,101",0%,"1,943.9",427.6,2.18 ,$2.51,"15,332.01","$17,623.00",1857,4
173,Grenada,"2,000",0%,"1,264.2",278.1,1.06 ,$1.22,"8,057.94","$9,262.00",2005,7
74,Guatemala,"93,000",0%,391.0,86.0,1.18 ,$1.36,"4,004.61","$4,603.00",896,10
138,Guinea,"19,001",0%,112.7,24.8,1.18 ,$1.36,"1,038.78","$1,194.00",233,9
156,Guyana,"14,000",0%,"1,264.7",278.2,1.06 ,$1.22,"6,051.72","$6,956.00",1512,5
129,Haiti,"23,000",0%,147.7,32.5,0.50 ,$0.58,"1,023.99","$1,177.00",540,17
97,Honduras,"58,000",0%,436.0,95.9,1.26 ,$1.45,"2,093.22","$2,406.00",438,5
41,Hong Kong,"408,491",0%,"3,930.0",864.5,2.61 ,$3.00,"40,301.88","$46,324.00",4081,5
63,Hungary,"155,544",0%,"1,111.5",244.5,1.75 ,$2.01,"13,903.47","$15,981.00",2103,9
142,Iceland,"19,090",0%,"4,004.6",880.9,2.26 ,$2.60,"51,564.90","$59,270.00",6030,7
3,India,"4,443,000",5%,233.7,51.4,1.16 ,$1.33,"1,653.87","$1,901.00",376,7
14,Indonesia,"1,623,000",2%,432.3,95.1,1.03 ,$1.18,"3,366.90","$3,870.00",864,9
12,Iran,"1,803,999",2%,"1,580.2",347.6,0.04 ,$0.05,"2,108.01","$2,423.00",12115,35
26,Iraq,"857,000",1%,"1,631.6",358.9,0.44 ,$0.51,"3,617.46","$4,158.00",2132,6
53,Ireland,"152,404",0%,"2,261.6",497.5,1.80 ,$2.07,"74,183.16","$85,268.00",10876,22
55,Israel,"236,249",0%,"2,030.2",446.6,1.83 ,$2.10,"38,427.03","$44,169.00",5563,12
17,Italy,"1,236,628",1%,"1,420.6",312.5,1.84 ,$2.12,"27,591.18","$31,714.00",3959,13
98,Jamaica,"54,000",0%,"1,294.7",284.8,1.46 ,$1.68,"4,058.55","$4,665.00",733,3
4,Japan,"4,012,877",4%,"2,188.9",481.5,1.08 ,$1.24,"34,967.91","$40,193.00",8570,18
81,Jordan,"114,000",0%,831.5,182.9,1.44 ,$1.66,"3,726.21","$4,283.00",680,4
42,Kazakhstan,"325,000",0%,"1,270.2",279.4,0.42 ,$0.48,"7,936.14","$9,122.00",5068,18
75,Kenya,"114,000",0%,161.8,35.6,1.18 ,$1.36,"1,599.06","$1,838.00",358,10
172,Kiribati,400,0%,247.8,54.5,0.94 ,$1.08,"1,453.77","$1,671.00",409,7
38,Kuwait,"359,000",0%,"6,323.0",1390.9,0.30 ,$0.34,"21,586.44","$24,812.00",19234,14
117,Kyrgyzstan,"40,000",0%,458.7,100.9,0.72 ,$0.83,"1,021.38","$1,174.00",374,4
140,Laos,"18,000",0%,183.2,40.3,1.66 ,$1.91,"2,288.10","$2,630.00",364,9
111,Latvia,"37,694",0%,"1,330.6",292.7,1.91 ,$2.19,"15,421.62","$17,726.00",2141,7
67,Lebanon,"153,000",0%,"1,587.9",349.3,1.24 ,$1.43,"4,045.50","$4,650.00",860,2
161,Lesotho,"5,001",0%,167.7,36.9,1.31 ,$1.50,749.07,$861.00,152,4
158,Liberia,"8,000",0%,121.4,26.7,1.13 ,$1.30,507.21,$583.00,119,4
50,Libya,"223,000",0%,"2,393.9",526.6,0.03 ,$0.03,"3,218.13","$3,699.00",30825,59
95,Lithuania,"61,612",0%,"1,486.1",326.9,1.86 ,$2.14,"17,603.58","$20,234.00",2495,8
93,Luxembourg,"56,194",0%,"6,760.8",1487.2,1.82 ,$2.09,"100,810.38","$115,874.00",14649,10
127,Macao,"17,110",0%,"1,945.7",428.0,1.24 ,$1.43,"74,921.79","$86,117.00",15889,37
131,Madagascar,"18,000",0%,50.5,11.1,0.89 ,$1.02,431.52,$496.00,128,12
150,Malawi,"6,001",0%,24.1,5.3,1.17 ,$1.35,543.75,$625.00,122,23
27,Malaysia,"708,000",1%,"1,607.9",353.7,0.40 ,$0.46,"9,058.44","$10,412.00",5916,17
157,Maldives,"11,000",0%,"1,612.0",354.6,0.83 ,$0.95,"6,023.88","$6,924.00",1923,5
135,Mali,"21,999",0%,85.5,18.8,1.06 ,$1.22,747.33,$859.00,186,10
107,Malta,"47,000",0%,"7,510.9",1652.2,1.22 ,$1.40,"24,259.95","$27,885.00",5281,3
125,Mauritius,"28,000",0%,"1,546.5",340.2,1.46 ,$1.68,"7,506.36","$8,628.00",1357,4
11,Mexico,"2,052,607",2%,"1,159.7",255.1,1.00 ,$1.15,"7,246.23","$8,329.00",1910,7
134,Moldova,"18,001",0%,308.7,67.9,1.55 ,$1.78,"3,959.37","$4,551.00",674,10
141,Mongolia,"21,000",0%,478.7,105.3,1.07 ,$1.23,"3,486.09","$4,007.00",858,8
154,Montenegro,"7,000",0%,777.8,171.1,1.49 ,$1.71,"6,678.99","$7,677.00",1188,7
180,Montserrat,400,0%,"5,596.6",1231.1,1.05 ,$1.21,"10,952.43","$12,589.00",2755,2
49,Morocco,"275,000",0%,545.5,120.0,1.46 ,$1.68,"2,617.83","$3,009.00",473,4
115,Mozambique,"40,000",0%,100.0,22.0,1.13 ,$1.30,390.63,$449.00,91,4
78,Myanmar,"123,000",0%,161.4,35.5,1.10 ,$1.26,"1,218.00","$1,400.00",295,8
123,Namibia,"26,000",0%,768.3,169.0,1.10 ,$1.27,"3,663.57","$4,211.00",877,5
110,Nepal,"43,000",0%,110.0,24.2,1.24 ,$1.42,"1,004.85","$1,155.00",214,9
23,Netherlands,"937,098",1%,"3,845.9",846.0,2.15 ,$2.47,"45,585.39","$52,397.00",5616,7
146,New Caledonia,"20,000",0%,"5,083.3",1118.2,1.88 ,$2.16,"30,266.43","$34,789.00",4248,4
60,New Zealand,"166,913",0%,"2,496.7",549.2,1.80 ,$2.07,"36,054.54","$41,442.00",5299,10
116,Nicaragua,"37,000",0%,409.1,90.0,1.19 ,$1.37,"1,657.35","$1,905.00",368,4
35,Nigeria,"428,000",0%,160.5,35.3,0.37 ,$0.42,"1,824.39","$2,097.00",1336,38
178,Niue,51,0%,"2,202.1",484.4,2.63 ,$3.02,"13,559.82","$15,586.00",1364,3
148,North Korea,"18,000",0%,49.6,10.9,12.62 ,$14.50,"1,131.00","$1,300.00",24,2
143,North Macedonia,"21,000",0%,703.3,154.7,1.64 ,$1.88,"5,122.56","$5,888.00",827,5
59,Norway,"204,090",0%,"2,708.5",595.8,2.35 ,$2.70,"58,629.30","$67,390.00",6594,11
62,Oman,"183,000",0%,"2,847.2",626.3,0.54 ,$0.62,"11,014.20","$12,660.00",5387,9
33,Pakistan,"556,000",1%,190.5,41.9,0.90 ,$1.03,"1,038.78","$1,194.00",306,7
66,Panama,"155,000",0%,"2,675.8",588.6,1.26 ,$1.45,"10,883.70","$12,510.00",2279,4
113,Papua New Guinea,"37,001",0%,311.9,68.6,1.35 ,$1.55,"2,294.19","$2,637.00",449,7
102,Paraguay,"51,000",0%,524.6,115.4,1.22 ,$1.40,"4,306.50","$4,950.00",934,8
45,Peru,"246,000",0%,554.2,121.9,1.44 ,$1.65,"5,330.49","$6,127.00",979,8
39,Philippines,"429,000",0%,288.2,63.4,1.35 ,$1.55,"2,870.13","$3,299.00",561,9
32,Poland,"582,161",1%,"1,067.9",234.9,1.57 ,$1.80,"13,677.27","$15,721.00",2312,10
65,Portugal,"236,866",0%,"1,598.8",351.7,1.97 ,$2.26,"19,293.12","$22,176.00",2594,7
71,Puerto Rico,"96,746",0%,"2,053.4",451.7,1.24 ,$1.43,"28,093.17","$32,291.00",5969,13
52,Qatar,"172,000",0%,"4,516.0",993.4,0.50 ,$0.58,"43,607.88","$50,124.00",22993,23
56,Romania,"200,000",0%,704.2,154.9,1.58 ,$1.82,"11,219.52","$12,896.00",1877,12
5,Russia,"3,631,287",4%,"1,742.0",383.2,0.78 ,$0.90,"8,810.49","$10,127.00",2970,8
152,Rwanda,"6,700",0%,40.0,8.8,1.24 ,$1.42,694.26,$798.00,149,17
171,Saint Helena,70,0%,819.2,180.2,1.27 ,$1.46,"6,786.00","$7,800.00",1410,8
179,Saint Pierre & Miquelon,660,0%,"7,751.4",1705.1,1.91 ,$2.19,"30,363.00","$34,900.00",4220,2
6,Saudi Arabia,"3,302,000",3%,"7,092.7",1560.2,0.54 ,$0.62,"17,495.70","$20,110.00",8557,5
106,Senegal,"49,000",0%,227.8,50.1,1.24 ,$1.42,"1,294.56","$1,488.00",276,6
87,Serbia,"74,000",0%,582.3,128.1,1.53 ,$1.76,"6,717.27","$7,721.00",1163,9
164,Seychelles,"7,299",0%,"5,314.7",1169.1,1.58 ,$1.82,"9,364.68","$10,764.00",1560,1
155,Sierra Leone,"6,500",0%,61.8,13.6,1.19 ,$1.37,421.95,$485.00,94,7
16,Singapore,"1,357,000",1%,"16,727.0",3679.5,2.00 ,$2.30,"52,024.26","$59,798.00",6865,2
86,Slovakia,"81,587",0%,"1,044.7",229.8,1.72 ,$1.98,"16,762.29","$19,267.00",2569,11
101,Slovenia,"52,298",0%,"1,757.0",386.5,1.41 ,$1.62,"22,199.79","$25,517.00",4149,11
153,Somalia,"5,600",0%,27.7,6.1,0.70 ,$0.80,268.83,$309.00,102,17
30,South Africa,"640,000",1%,793.7,174.6,1.29 ,$1.48,"4,429.17","$5,091.00",911,5
8,South Korea,"2,605,440",3%,"3,561.3",783.4,1.40 ,$1.61,"27,519.84","$31,632.00",5194,7
151,South Sudan,"8,001",0%,51.4,11.3,1.10 ,$1.27,974.40,"$1,120.00",233,21
18,Spain,"1,290,063",1%,"1,928.0",424.1,1.92 ,$2.21,"23,544.81","$27,063.00",3241,8
77,Sri Lanka,"127,000",0%,421.0,92.6,1.10 ,$1.26,"3,203.34","$3,682.00",775,8
122,State of Palestine,"24,001",0%,361.0,79.4,1.52 ,$1.75,"2,818.80","$3,240.00",489,6
82,Sudan,"140,000",0%,245.0,53.9,1.10 ,$1.27,518.52,$596.00,124,2
159,Suriname,"13,000",0%,"1,603.8",352.8,0.98 ,$1.13,"5,647.17","$6,491.00",1524,4
44,Sweden,"322,109",0%,"2,282.1",502.0,2.00 ,$2.30,"45,478.38","$52,274.00",6009,12
51,Switzerland,"228,194",0%,"1,898.0",417.5,1.91 ,$2.19,"75,774.39","$87,097.00",10532,25
70,Syria,"140,000",0%,558.7,122.9,0.25 ,$0.29,"1,768.71","$2,033.00",1882,15
21,Taiwan,"981,203",1%,"2,895.3",636.9,0.90 ,$1.04,"22,564.32","$25,936.00",6583,10
145,Tajikistan,"21,000",0%,169.1,37.2,1.37 ,$1.57,747.33,$859.00,145,4
88,Tanzania,"71,999",0%,94.6,20.8,1.11 ,$1.28,936.99,"$1,077.00",222,11
19,Thailand,"1,302,000",1%,"1,315.6",289.4,1.31 ,$1.51,"6,254.43","$7,189.00",1261,4
137,Togo,"15,000",0%,139.1,30.6,0.73 ,$0.84,796.05,$915.00,288,9
181,Tonga,899,0%,619.6,136.3,3.72 ,$4.28,"4,265.61","$4,903.00",303,2
96,Trinidad and Tobago,"57,000",0%,"2,883.5",634.3,0.86 ,$0.99,"13,420.62","$15,426.00",4103,6
76,Tunisia,"97,000",0%,597.8,131.5,0.66 ,$0.76,"2,888.40","$3,320.00",1161,9
22,Turkey,"941,861",1%,822.4,180.9,1.39 ,$1.60,"7,426.32","$8,536.00",1409,8
58,Turkmenistan,"149,000",0%,"1,833.9",403.4,0.37 ,$0.43,"6,622.44","$7,612.00",4699,12
118,Uganda,"32,001",0%,56.4,12.4,1.31 ,$1.51,710.79,$817.00,143,12
46,Ukraine,"244,000",0%,380.5,83.7,1.48 ,$1.70,"3,242.49","$3,727.00",579,7
25,United Arab Emirates,"896,000",1%,"6,670.3",1467.3,0.96 ,$1.10,"31,567.95","$36,285.00",8743,6
15,United Kingdom,"1,583,896",2%,"1,664.7",366.2,1.93 ,$2.22,"35,778.75","$41,125.00",4908,13
1,United States,"19,687,287",20%,"4,247.3",934.3,1.19 ,$1.37,"55,170.18","$63,414.00",12218,13
94,Uruguay,"53,000",0%,"1,078.8",237.3,1.76 ,$2.02,"13,431.06","$15,438.00",2021,9
99,Uzbekistan,"49,000",0%,108.6,23.9,0.78 ,$0.90,"1,466.82","$1,686.00",497,21
170,Vanuatu,"1,100",0%,275.5,60.6,1.13 ,$1.30,"2,421.21","$2,783.00",566,9
31,Venezuela,"598,000",1%,"1,396.1",307.1,0.02 ,$0.02,"13,968.72","$16,056.00",200700,654
34,Vietnam,"478,000",1%,356.0,78.3,1.24 ,$1.42,"2,423.82","$2,786.00",518,7
91,Yemen,"60,000",0%,154.1,33.9,0.45 ,$0.52,716.88,$824.00,420,12
139,Zambia,"22,000",0%,93.6,20.6,1.29 ,$1.48,914.37,"$1,051.00",188,9
120,Zimbabwe,"24,000",0%,119.1,26.2,1.41 ,$1.62,981.36,"$1,128.00",184,7
